#: table_doi: 10.17182/hepdata.113470.v1/t20
#: name: Fig 5b unbinned
#: description: Mass distributions for selected $D^+ D^0 \pi^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0 \pi^+}$ [MEV],Weight []
3935.80794,1.31896
3935.84919,-0.00402
3935.87017,0.59008
3935.99939,-0.44584
3936.00273,1.50297
3936.00297,1.2336
3936.02133,1.46446
3936.13362,-0.76588
3936.17082,-0.52797
3936.27906,1.42749
3936.42712,-0.53481
3936.43856,0.30995
3936.48648,-0.7724
3936.54633,1.67802
3936.55515,-0.5505
3936.57422,0.57598
3936.59949,-0.60183
3936.60355,1.17072
3936.71918,1.03929
3936.73897,-0.61809
3936.84101,-2.21822
3936.85508,1.27966
3936.91969,1.61098
3936.96213,1.48496
3936.96308,0.47643
3937.0811,0.17613
3937.12449,1.11241
3937.2139,-3.34475
3937.23655,1.6651
3937.27231,1.70777
3937.27469,-0.21638
3937.28375,-0.74774
3937.35409,0.67634
3937.46519,1.71993
3937.55937,-0.76391
3937.65712,-0.43471
3937.77299,1.56328
3937.80732,0.74819
3937.96682,-0.59226
3938.00116,-0.60007
3938.03358,0.04581
3938.04741,-0.70831
3938.20596,0.75499
3938.23147,1.50114
3938.27772,1.68327
3938.2813,-0.12231
3938.40599,1.19145
3938.4141,1.11631
3938.49516,0.9722
3938.52067,-0.70756
3938.53474,1.70023
3938.59482,-0.54238
3938.60269,1.04223
3938.67397,1.45008
3938.67946,1.36643
3938.70091,0.36433
3938.71474,1.56926
3938.71927,0.85294
3938.76696,0.31103
3938.88521,-1.30204
3938.90643,0.53585
3938.96508,-0.27922
3938.97581,0.10185
3938.9925,1.66107
3939.05735,-0.73293
3939.21375,-0.77502
3939.24737,1.59603
3939.47673,1.67088
3939.53824,-0.72154
3939.68678,1.49878
3939.73231,0.57472
3939.73494,0.33876
3939.77809,0.79242
3939.80408,-2.72912
3939.85295,-0.30591
3939.88156,1.46587
3940.00125,1.66945
3940.0537,1.66747
3940.18292,1.08068
3940.19484,0.00616
3940.20796,0.49689
3940.23204,0.87716
3940.25516,-0.77296
3940.28425,1.63755
3940.28664,1.59603
3940.30309,1.3624
3940.33575,1.11782
3940.35673,1.63494
3940.40966,1.39592
3940.45258,1.70818
3940.47976,1.2634
3940.5055,-0.43384
3940.52339,1.67086
