#: table_doi: 10.17182/hepdata.113470.v1/t19
#: name: Fig 5a unbinned
#: description: Mass distributions for selected $D^+ D^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^+}$ [MEV],Weight []
3751.99962,0.15331
3752.04229,-0.58822
3752.05398,1.04444
3752.05564,-0.67651
3752.07114,-0.15847
3752.08664,0.00029
3752.08688,0.04518
3752.10357,0.15901
3752.11501,-0.13784
3752.11859,-0.59831
3752.12717,-0.01819
3752.13814,0.05077
3752.14314,-0.31521
3752.14696,1.50454
3752.16055,0.0566
3752.18201,-0.66189
3752.1956,-0.74546
3752.19655,0.03266
3752.22421,1.46518
3752.23184,0.8725
3752.2335,-0.0496
3752.23517,0.47233
3752.23637,0.0093
3752.23637,-0.28621
3752.24114,-0.40721
3752.25139,-0.60808
3752.25353,-0.57203
3752.26974,0.15762
3752.27904,0.485
3752.31004,1.04529
3752.3284,-0.06997
3752.34413,-0.28378
3752.34652,0.35733
3752.34818,0.20332
3752.37274,-0.34165
3752.38156,0.63634
3752.39158,-0.30195
3752.39205,-0.4793
3752.39825,-0.20825
3752.40183,0.12234
3752.41113,1.36151
3752.41232,0.05262
3752.41423,0.13187
3752.43926,0.12771
3752.44975,-0.33251
3752.45833,0.02826
3752.45881,-0.4753
3752.47264,1.14812
3752.47765,0.10139
3752.48122,0.1393
3752.50316,-0.23107
3752.5084,0.15263
3752.50936,0.13856
3752.51126,-0.78167
3752.52199,0.04622
3752.52604,0.14105
3752.5537,0.15631
3752.57111,-0.41618
3752.58446,0.70847
3752.5866,-0.53349
3752.59137,-0.10027
3752.63166,-0.3131
3752.65312,0.12379
3752.65884,0.07393
3752.66671,0.04547
3752.66933,0.15932
3752.68531,1.55965
3752.70724,1.15572
3752.73776,0.15564
3752.73824,0.15859
3752.73895,0.05892
3752.73895,0.00311
3752.74849,-0.2151
3752.75016,0.70125
3752.78378,-0.38207
3752.8069,-0.04814
3752.80809,-0.55282
3752.81143,0.40402
3752.82002,1.37944
3752.82264,-0.50646
3752.83265,0.41833
3752.85172,0.14735
3752.86865,1.24773
3752.86984,0.04179
3752.88653,0.75311
3752.90418,0.11945
3752.9552,0.39687
3752.95615,-0.73501
3752.96164,-0.60102
3752.96402,0.0855
3752.96497,0.15905
3752.96664,-0.45116
3752.97475,0.13057
3752.98977,0.15914
3752.99001,0.07026
3752.99287,-0.74483
3753.0036,0.10759
3753.00956,0.15382
3753.01218,0.13485
3753.02553,-0.15047
3753.02815,-0.22595
3753.02958,0.26119
3753.04055,0.1338
3753.05653,0.13958
3753.057,-0.48427
3753.06177,-0.04448
3753.07608,-0.49462
3753.088,-0.28994
3753.10159,-0.2028
3753.12185,0.04144
3753.12567,1.46065
3753.13854,0.44143
3753.1395,-0.18476
3753.15523,-0.23621
3753.24583,0.15807
3753.25966,-0.71864
3753.26157,-0.44683
3753.28827,0.15173
3753.3195,-0.37785
3753.32308,0.151
3753.36695,0.1593
3753.37601,-0.21207
3753.37601,0.14302
3753.38745,-0.69274
3753.39174,0.07774
3753.39723,1.50222
3753.40342,0.15673
3753.4287,0.15736
3753.43132,0.07647
3753.43728,0.14863
3753.44634,0.15296
3753.49998,-0.0764
3753.52716,1.12532
3753.53074,-0.77925
3753.53766,0.15558
3753.53789,0.14833
3753.53932,0.15179
