#: table_doi: 10.17182/hepdata.113470.v1/t18
#: name: Fig 4b unbinned
#: description: $D^+ D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0}$ [MEV],Weight []
3738.72209,-0.66167
3738.7228,0.12352
3738.7259,0.10998
3738.72733,-0.41395
3738.72733,-0.37546
3738.74903,0.99435
3738.7495,0.12954
3738.75809,0.63508
3738.75904,-0.55905
3738.77597,0.93786
3738.77954,-0.19972
3738.77954,1.0321
3738.78288,0.13054
3738.79242,1.16232
3738.79862,-0.46152
3738.80601,0.12988
3738.81078,0.01556
3738.82794,0.03838
3738.832,-0.07336
3738.84344,0.19339
3738.85107,0.99864
3738.85727,0.1296
3738.8742,1.27731
3738.8792,1.18288
3738.88302,-0.52274
3738.88707,-0.23141
3738.88969,1.26645
3738.89279,-0.54657
3738.89995,-0.02056
3738.90018,-0.6289
3738.91115,-0.0924
3738.91211,-0.58224
3738.91425,0.08253
3738.91497,0.42352
3738.92236,0.63847
3738.92832,0.13081
3738.93332,0.03322
3738.93666,0.07821
3738.93881,-0.19935
3738.94095,-0.10146
3738.94787,0.46222
3738.9524,0.13693
3738.95621,-0.53201
3738.96813,0.07154
3738.98006,0.38044
3738.98053,0.12589
3738.98244,-0.0534
3738.98864,0.30281
3739.00056,0.0758
3739.00223,0.48879
3739.00628,0.02194
3739.0132,-0.23966
3739.01463,0.91901
3739.01796,-0.65213
3739.02178,0.1231
3739.0244,1.0064
3739.03728,-0.11776
3739.04777,0.11481
3739.04824,1.30485
3739.05992,0.12413
3739.06422,0.98169
3739.0666,-0.26483
3739.06779,0.10127
3739.09164,1.09569
3739.09164,-0.41795
3739.09521,0.12869
3739.09712,0.12524
3739.10856,0.0886
3739.10856,-0.65749
3739.11047,-0.3432
3739.1119,0.04577
3739.11285,-0.5434
3739.13503,0.03371
3739.14075,1.42961
3739.14337,-0.13303
3739.15744,1.46853
3739.1665,0.79558
3739.1851,0.13081
3739.19344,1.39678
3739.19392,0.00831
3739.19582,-0.39868
3739.20512,-0.49339
3739.22229,0.13089
3739.23373,-0.60521
3739.23564,-0.0137
3739.23707,0.35363
3739.24208,0.98557
3739.24446,1.47086
3739.24446,1.3914
3739.24971,-0.43882
3739.25328,0.974
3739.25495,0.71217
3739.25948,-0.40504
3739.25996,0.13042
3739.26044,-0.02308
3739.26354,0.55578
3739.26735,-0.41226
3739.27021,0.13024
3739.27069,-0.66014
3739.27331,-0.09515
3739.27927,0.12737
3739.27998,-0.51649
3739.28595,-0.04666
3739.28714,1.20575
3739.28762,0.1308
3739.29048,0.11658
3739.30621,-0.18362
3739.30645,0.49432
3739.30979,0.01264
3739.31122,1.44452
3739.31289,0.05
3739.31456,-0.26676
3739.31503,-0.56824
3739.32552,0.75012
3739.3291,0.07546
3739.33697,0.29422
3739.33935,0.10817
3739.35628,1.22643
3739.36892,1.33629
3739.37082,-0.55169
3739.37345,-0.23024
3739.39085,0.06027
3739.39204,-0.38886
3739.39252,-0.24502
3739.39967,1.29336
3739.40039,0.55322
3739.40206,-0.2856
3739.41684,-0.00937
3739.43567,1.05547
3739.43758,0.06002
3739.43853,1.32295
3739.44211,0.09474
3739.44759,-0.32542
3739.45379,1.3856
3739.45713,-0.12294
3739.46452,1.24043
3739.46643,-0.44224
3739.47692,0.06289
3739.49599,1.0779
3739.50529,1.03023
3739.50648,-0.33078
3739.51101,0.16812
3739.51721,0.12551
3739.52794,-0.19524
3739.54272,-0.06735
3739.55846,0.12021
3739.5649,-0.49077
3739.56537,-0.17713
3739.56871,1.29516
3739.57372,0.10662
3739.58063,0.1279
3739.58111,0.1227
3739.58182,1.1694
3739.59422,0.03444
3739.59708,1.4342
3739.60471,-0.33284
3739.60638,-0.08049
3739.60662,0.12825
3739.60972,0.12906
3739.61449,0.11951
3739.61616,0.03278
3739.61782,1.45288
3739.61782,-0.08602
3739.62021,0.0446
3739.6276,-0.61362
3739.6307,-0.56044
3739.63952,1.20955
3739.6431,0.00012
3739.64405,0.05271
3739.64763,0.12614
3739.64858,1.47558
3739.64977,0.02261
3739.65096,0.13047
3739.65263,0.06769
3739.65859,0.04585
3739.66813,-0.6245
3739.68077,1.26389
3739.6872,1.28293
3739.69889,-0.41648
3739.69889,0.06824
3739.70771,0.00138
3739.71295,0.10553
3739.71438,1.37217
3739.71534,0.10166
3739.71772,-0.63427
3739.7306,-0.66421
3739.74371,0.13027
3739.74609,-0.02715
3739.75396,-0.48192
3739.75849,-0.61193
3739.75992,-0.54867
3739.76731,-0.34804
3739.76994,1.09535
3739.77065,1.38769
3739.7821,-0.63225
3739.78233,0.43932
3739.78424,1.35614
3739.78639,0.12712
3739.79712,-0.55352
3739.80451,-0.05073
3739.80928,0.03507
3739.81023,-0.00679
3739.81476,-0.50431
3739.81476,-0.40118
3739.81834,1.10092
